"id_order","brand_cat"
306402,"Seagate accessories"
306402,"iFixit accessories"
306419,"Apple accessories"
306421,"SanDisk accessories"
306423,"LaCie accessories"
306423,"Apple accessories"
306423,"Apple accessories"
306423,"Belkin accessories"
306419,"NA NA"
306421,"Jaybird accessories"
306419,"Belkin accessories"
306434,"Apple accessories"
306434,"Apple accessories"
306436,"LG display"
306440,"Ndevr accessories"
306419,"Belkin accessories"
306436,"NewerTech accessories"
306440,"Muvit accessories"
304871,"Hitcase accessories"
306456,"Lifeproof accessories"
306456,"Lifeproof accessories"
306458,"Seagate accessories"
306459,"BenQ display"
306460,"Wowewa accessories"
306053,"Macally accessories"
306459,"TP-Link accessories"
306458,"Parrot accessories"
306490,"Sonnet accessories"
306460,"Moshi accessories"
306501,"Apple accessories"
306541,"Samsung accessories"
306541,"Crucial accessories"
306543,"Satechi accessories"
306543,"NewerTech accessories"
306490,"OWC accessories"
306557,"BenQ display"
306559,"Apple accessories"
306559,"Logitech accessories"
306593,"Twelve South accessories"
306593,"TP-Link accessories"
306553,"iFixit accessories"
306553,"iFixit accessories"
306593,"Apple tablet"
306593,"Apple accessories"
306622,"iHealth accessories"
306622,"Moshi accessories"
304781,"Apple smartphone"
306655,"Otterbox accessories"
306655,"Apple accessories"
306655,"SanDisk accessories"
306655,"Belkin accessories"
306677,"Pack accessories"
306677,"Service service"
306685,"Otterbox accessories"
306677,"SanDisk accessories"
306685,"Belkin accessories"
306692,"Apple laptop"
306697,"Western Digital accessories"
306697,"Apple accessories"
306710,"Pack pc"
306735,"Apple smartphone"
306738,"SanDisk accessories"
306710,"Apple extended warranty"
306738,"Kingston accessories"
306743,"Celly accessories"
306735,"Apple smartphone"
306752,"Apple accessories"
306753,"HGST Travelstar accessories"
306753,"FCM accessories"
306752,"Apple accessories"
306766,"Logitech accessories"
306766,"Apple tablet"
306820,"SanDisk accessories"
306820,"Startech accessories"
306840,"Apple pc"
306840,"NewerTech accessories"
306840,"Trascend other"
303376,"Spek SeeThru accessories"
306884,"Apple accessories"
306884,"Apple accessories"
306152,"SanDisk accessories"
306907,"Parrot other"
306907,"Satechi accessories"
306884,"Apple accessories"
306907,"Celly accessories"
307007,"Apple accessories"
307007,"Apple accessories"
307012,"Apple accessories"
307012,"Apple accessories"
307012,"Griffin accessories"
307015,"OWC accessories"
307015,"Crucial accessories"
307039,"OWC accessories"
307039,"Kingston accessories"
307043,"Griffin accessories"
307043,"Mophie accessories"
307032,"Synology accessories"
307032,"Western Digital accessories"
307050,"Logitech accessories"
307050,"Beats accessories"
306926,"Celly accessories"
307073,"Apple laptop"
307074,"Pack accessories"
307072,"Apple accessories"
307076,"Western Digital accessories"
307076,"Western Digital accessories"
303922,"iFixit accessories"
307094,"Apple accessories"
307094,"Apple accessories"
307073,"Be.ez accessories"
307107,"Crucial accessories"
307112,"Apple pc"
307112,"Samsung display"
307112,"NewerTech accessories"
307118,"Philips accessories"
307121,"NewerTech accessories"
307117,"Apple accessories"
307117,"Otterbox accessories"
307128,"Philips accessories"
307121,"SanDisk accessories"
307128,"Netatmo other"
307137,"Pack accessories"
